O,1,1,1,,,,
Ograve,1,1,1,,,,
Oacute,1,1,1,,,,
Ocircumflex,1,1,1,,,,
Otilde,1,1,1,,,,
Odieresis,1,1,1,,,,
Oslash,1,,,,,,
Omacron,1,1,1,,,,
Obreve,1,1,1,,,,
Ohungarumlaut,1,1,1,,,,
OE,1,1,,,,,
Ohorn,1,1,,,,,
Oogonek,1,1,1,,,,
Oslashacute,1,,,,,,
Odblgrave,1,1,1,,,,
Oinvertedbreve,1,1,1,,,,
Odieresismacron,1,1,1,,,,
Otildemacron,1,1,1,,,,
Odotaccentmacron,1,1,1,,,,
Odotbelow,1,1,1,,,,
Ohookabove,1,1,1,,,,
Ocircumflexacute,1,1,1,,,,
Ocircumflexgrave,1,1,1,,,,
Ocircumflexhookabove,1,1,1,,,,
Ocircumflextilde,1,1,1,,,,
Ocircumflexdotbelow,1,1,1,,,,
Ohornacute,1,1,1,,,,
Ohorngrave,1,1,1,,,,
Ohornhookabove,1,1,1,,,,
Ohorntilde,1,1,1,,,,
Ohorndotbelow,1,1,1,,,,
Omicron,1,1,1,,,,
Omicrontonos,1,1,1,,,,
Ocyr,1,1,1,,,,
Odieresiscyr,1,1,1,,,,
Obarcyr,1,1,1,,,,
Omacroncyr,1,1,1,,,,
Obrevecyr,1,1,1,,,,
Q,1,1,,,,,
C,,1,,,,,
G,,1,,,,,
D,,,1s,,,,
