H,1,1,1,,,,
Hcircumflex,1,1,1,,,,
Hbar,1,,,,,,
En,,,,,,,
Endescender,,,,,,,
Eta,1,1,1,,,,
Etatonos,,,1,,,,
Pi,,1,1,,,,
Pe,,1,,,,,
Dzhe,,1,,,,,
Tse,,1,,,,,
Nje,1,1,1,,,,
B,,1,,,,,
D,,1,,,,,
E,,1,,,,,
F,,1,,,,,
I,,1,1,,,,
K,,1,,,,,
L,,1,,,,,
M,,1,1,,,,
N,,1,1,,,,
P,,1,,,,,
R,,1,,,,,
